"","geohash","observed","knn_predict","arima_predict","smooth_predict"
"5414","dr72hwq",0,0.000898876404494382,0,1.31603497735627e-05
"5415","dr72hwr",0,0.000561797752808989,0,-1.31586098496075e-05
"5416","dr72hws",0,-0.00112359550561798,0,1.31786328710843e-05
"5417","dr72hwu",0,-0.000898876404494382,0,-1.3162960090877e-05
"5418","dr72hww",0,0.00224719101123596,0,1.31603497735627e-05
"5419","dr72hwx",0,0.000561797752808989,0,1.31586098496075e-05
"5420","dr72hwy",0,0.000561797752808989,0,1.31586098496075e-05
"5421","dr72hwz",0,0.000898876404494382,0,1.13211007463524e-08
"5422","dr72hx4",0,0.000561797752808989,0,-1.31612198218128e-05
"5423","dr72hx5",0,-0.00224719101123596,0,2.61066246877935e-09
"5424","dr72hx6",0,-0.00187265917602996,0,8.69904482301178e-09
"5425","dr72hx7",0,-0.00179775280898876,0,-2.62911355003895e-05
"5426","dr72hx9",0,0,0,0
"5427","dr72hxc",0,0,0,-6.95923581278775e-09
"5428","dr72hxe",0,-0.00134831460674157,-0.00449438202243543,-0.00168568446325277
"5429","dr72hxh",0,-0.00134831460674157,0,-1.31690493936053e-05
"5430","dr72hxj",0,-0.000642054574638844,0,-1.31586098496075e-05
"5431","dr72hxk",0,-0.00224719101123596,0,1.65276396261759e-08
"5432","dr72hxn",0,-0.000449438202247191,0,-1.31664413193676e-05
"5433","dr72hxp",0,-0.00168539325842697,0,-1.31473059496319e-05
"5434","dr72hxq",0,-0.000963081861958266,0,1.31612198218128e-05
"5435","dr72hxr",0,0,0,-1.31655709259402e-05
"5436","dr72hxt",0,0.000898876404494382,0,-1.31768905299288e-05
"5437","dr72hxu",0,-0.00179775280898876,0,1.32004315840842e-05
"5438","dr72hxx",0,0.00112359550561798,0,1.31560003949799e-05
"5439","dr72hxy",0,0.000321027287319422,0,1.31560003949799e-05
"5440","dr72hxz",0,0.000898876404494382,0,0
"5441","dr72hy0",0,0.000561797752808989,0,-1.62105184603133e-23
"5442","dr72hy1",0,0,0,-1.31568701556868e-05
"5443","dr72hy4",0,-0.000449438202247191,0,1.31586098496075e-05
"5444","dr72hy5",0,-0.000449438202247191,-0.00449438202243543,-0.00158841481110494
"5445","dr72hy6",0,0,0.0044943820224158,2.60493862311193e-31
"5446","dr72hy7",0,-0.00112359550561798,0,-2.63058975585307e-05
"5447","dr72hyb",0,0.000449438202247191,0,1.31533914578274e-05
"5448","dr72hyc",0,0,0,0
"5449","dr72hyd",0,0.00112359550561798,0,2.26292111837841e-19
"5450","dr72hye",0,-0.000898876404494382,0,2.00044981819814e-08
"5451","dr72hyf",0,-0.000449438202247191,0,0
"5452","dr72hyg",0,0,0,3.47938784901524e-09
"5453","dr72hyh",0,-0.00112359550561798,0.0117845278864183,0.00295478553754352
"5454","dr72hyj",0,-0.00764044943820225,0,-0.00500932749383853
"5455","dr72hym",0,-0.00168539325842697,-3.93577325266989e-08,-1.3207412131644e-05
"5456","dr72hyn",0,-0.0426966292134831,-0.024719101123655,-0.0135466479863817
"5457","dr72hyp",0,1.58112359550562,0,-0.0104194046403103
"5458","dr72hyq",0,-0.0103370786516854,-0.0456746974832431,0.0324008194717957
"5459","dr72hyr",0,-0.0139325842696629,0.0981571931033975,-0.0739915063951362
"5460","dr72hys",0,0,0,1.31525219270867e-05
