"","geohash","netdiff","netdiff20","netdiff21","netdiff22","netdiff23","netdiff24","netdiff25","netdiff26","netdiff27","netdiff28","netdiff29","netdiff30"
"1103","dr5rhx0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1104","dr5rhx1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1105","dr5rhxt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1106","dr5rk1g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
"1107","dr5rk4x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"1108","dr5rk61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1109","dr5rk6r",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
"1110","dr5rk6u",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1111","dr5rk6w",NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-2,-1
"1112","dr5rk6z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1113","dr5rk70",NA,NA,NA,NA,NA,NA,NA,NA,0,-1,-1,1
"1114","dr5rk7q",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0
"1115","dr5rk7t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1116","dr5rk8j",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1117","dr5rkbm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"1118","dr5rkcx",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
"1119","dr5rkd1",NA,NA,NA,NA,NA,NA,NA,NA,-1,-2,-2,-1
"1120","dr5rkd3",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-3
"1121","dr5rkdb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
